02/10/2020,AQS,360550015,1,30.2,ppb,28,Rochester Near-Road,19,79.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/11/2020,AQS,360550015,1,30,ppb,28,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/12/2020,AQS,360550015,1,28.1,ppb,26,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/13/2020,AQS,360550015,1,15.7,ppb,14,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/14/2020,AQS,360550015,1,28.3,ppb,26,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/15/2020,AQS,360550015,1,13.4,ppb,12,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/16/2020,AQS,360550015,1,7.2,ppb,7,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/17/2020,AQS,360550015,1,12,ppb,11,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/18/2020,AQS,360550015,1,7.8,ppb,7,Rochester Near-Road,19,79.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/19/2020,AQS,360550015,1,11.1,ppb,10,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/20/2020,AQS,360550015,1,16.1,ppb,15,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/21/2020,AQS,360550015,1,12.9,ppb,11,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/22/2020,AQS,360550015,1,7.2,ppb,7,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/23/2020,AQS,360550015,1,21.4,ppb,20,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
